Book-Author,Book-Title,ISBN,Price,Publisher,Year-Of-Publication
21st Century Publishing,Another Dimension,0964095408,12,Twenty-First Century Publishing (FL),1994
A &amp; E Television Network,Amelia Earhart: Queen of the Air (Biography Audiobooks),0767004752,9,New Video Group Inc,1998
A Adams,Annie's Wild Ride,0380794721,11,Avon,1998
A B Simpson,Best of A B Simpson,0875093140,12,Christian Publications,1987
A H Kramer-Lampher,Baby Born in a Stable (Arch Books (English)),0570060133,9,Arch Books,1965
A Kollontai,A great love,0393300285,10,W.W. Norton,1982
A. A. Gill,Aa Gill Is Away,0304362158,10,Trafalgar Square,2003
A. A. Milne,A Trick or Treat Surprise (Costume Pop-Up Book),157082455X,9,Mouse Works,1996
A. Anatoli,BABI YAR,0671451359,8,Pocket,1982
A. B. Yehoshua,A Journey to the End of the Millennium - A Novel of the Middle Ages,0156011166,11,Harvest Books,2000
A. B. Yehoshua,A Journey to the End of the Millennium: A Novel,0385488823,13,Doubleday Books,1999
A. Barrie,A Step-by-Step Book about Hamsters,0866224580,10,TFH Publications,1987
A. Bartlett Giamatti,A Great and Glorious Game: Baseball Writings of A. Bartlett Giamatti,1565121929,9,Algonquin Books of Chapel Hill,1998
A. Bronte,Agnes Grey (Wordsworth Collection),1853262161,9,NTC/Contemporary Publishing Company,1998
A. C Grayling,An introduction to philosophical logic,0389202991,10,Barnes  Noble Books,1982
A. C. Bhaktivedanta Swami Prabhupada,Beyond Birth and Death,0912776412,13,Bhaktivedanta Book Trust,1972
A. C. Bhaktivedanta Swami Prabhupada,Bhagavad Gita As It Is,0892131349,8,Bhaktivedanta Book Trust,1989
A. C. Bhaktivedanta Swami Prabhupada,Bhagavad Gita As It Is: Complete Edition,0892131233,12,Bhaktivedanta Book Trust,1997
A. C. Bhaktivedanta Swami Prabhupada,Bhagavad-Gita As It Is,0912776803,10,Bhaktivedanta Book Trust,1976
A. C. Bhaktivedanta Swami Prabhupada,Bhagavad-gita As It Is: Interactive,9171494154,13,Bhaktivedanta Book Trust,2000
A. C. Crispin,Alien: Resurrection - The Novelization,0446602299,13,Warner Books,1997
A. C. Doyle,Best of Sherlock Holmes,1853267481,9,Lb May  Assoc Inc,1999
A. Cort Sinnes,All about annuals,0917102916,11,Ortho Books,1981
A. Cort Sinnes,All about perennials,0917102924,10,Ortho Books,1981
A. Cross,Alternative Music Almanac,1896522149,12,Collectors Guide Publishing Inc,1996
A. D. Mills,A Dictionary of English Place-Names (Oxford Paperback Reference),0192800744,13,Oxford University Press,1998
A. den Doolaard,Achter de blinde muur (Salamander ; 390),902149390X,13,Querido,1976
A. E Johann,Abenteuer der Ferne,3570050025,11,Bertelsmann,1978
A. E. Housman,A Shropshire Lad (Dover Thrift Editions),0486264688,8,Dover Publications,1990
