BookAuthor,BookTitle,ISBN,Price,Publisher,YearOfPublication
"\Good Housekeeping\""""","\Good Housekeeping\"" Soups and Starters""",0852234880,9,Ebury Press,1984
"\Goscinny\""""",Asterix and the Magic Carpet (Classic Asterix Hardbacks),0340409576,9,Hodder Children's Books,1995
21st Century Publishing,Another Dimension,0964095408,8,Twenty-First Century Publishing (FL),1994
A  E Television Network,Amelia Earhart: Queen of the Air (Biography Audiobooks),0767004752,13,New Video Group Inc,1998
A Adams,Annie's Wild Ride,0380794721,12,Avon,1998
A B Simpson,Best of A B Simpson,0875093140,8,Christian Publications,1987
A H Kramer-Lampher,Baby Born in a Stable (Arch Books (English)),0570060133,13,Arch Books,1965
A Kollontai,A great love,0393300285,9,W.W. Norton,1982
A. A. Gill,Aa Gill Is Away,0304362158,10,Trafalgar Square,2003
A. A. Milne,A Trick or Treat Surprise (Costume Pop-Up Book),157082455X,9,Mouse Works,1996
A. Anatoli,BABI YAR,0671451359,12,Pocket,1982
A. B. Yehoshua,A Journey to the End of the Millennium - A Novel of the Middle Ages,0156011166,9,Harvest Books,2000
A. B. Yehoshua,A Journey to the End of the Millennium: A Novel,0385488823,9,Doubleday Books,1999
A. Barrie,A Step-by-Step Book about Hamsters,0866224580,11,TFH Publications,1987
A. Bartlett Giamatti,A Great and Glorious Game: Baseball Writings of A. Bartlett Giamatti,1565121929,10,Algonquin Books of Chapel Hill,1998
A. Bronte,Agnes Grey (Wordsworth Collection),1853262161,9,NTC/Contemporary Publishing Company,1998
A. C Grayling,An introduction to philosophical logic,0389202991,10,Barnes  Noble Books,1982
A. C. Bhaktivedanta Swami Prabhupada,Beyond Birth and Death,0912776412,11,Bhaktivedanta Book Trust,1972
A. C. Bhaktivedanta Swami Prabhupada,Bhagavad Gita As It Is,0892131349,11,Bhaktivedanta Book Trust,1989
A. C. Bhaktivedanta Swami Prabhupada,Bhagavad Gita As It Is: Complete Edition,0892131233,9,Bhaktivedanta Book Trust,1997
A. C. Bhaktivedanta Swami Prabhupada,Bhagavad-Gita As It Is,0912776803,12,Bhaktivedanta Book Trust,1976
A. C. Bhaktivedanta Swami Prabhupada,Bhagavad-gita As It Is: Interactive,9171494154,11,Bhaktivedanta Book Trust,2000
